Platform=Cloudflare One,AWS Region=us-west-1,Instance=ip-172-31-4-143,Timestamp=2025-06-03T20:02:59.715226,Public IP=104.28.233.73,"Location=San Jose, US","Network ASN=AS13335 Cloudflare, Inc.",,
IPERF3-UDP-UL-1000M,63.177.5.144,"Frankfurt am Main, DE",udp,1249921028,999.93,0.007817369,212537,20.880954088565026
IPERF3-UDP-DL-1000M,63.177.5.144,"Frankfurt am Main, DE",udp,1284636588,999.98,0.083924617,434299,41.51517845
IPERF3-UDP-UL-5000M,63.177.5.144,"Frankfurt am Main, DE",udp,3017291784,2413.83,0.014995730468401754,1693446,68.92113315084015
IPERF3-UDP-DL-5000M,63.177.5.144,"Frankfurt am Main, DE",udp,2924668656,2291.67,0.022395195,1656409,69.54874179771016
IPERF3-TCP,63.34.149.41,"Dublin, IE",tcp,248444048,198.75,191.23,386,
IPERF3-UDP-UL-100M,63.34.149.41,"Dublin, IE",udp,124989524,99.99,0.044767581,0,0
IPERF3-UDP-DL-100M,63.34.149.41,"Dublin, IE",udp,127314128,100,0.079336624,277,0.26717851768972567
IPERF3-UDP-UL-500M,63.34.149.41,"Dublin, IE",udp,624951304,499.96,0.016989213,14188,2.787875453412927
IPERF3-UDP-DL-500M,63.34.149.41,"Dublin, IE",udp,637389716,500,0.014293957192373226,8275,1.594267956
IPERF3-UDP-UL-1000M,63.34.149.41,"Dublin, IE",udp,1249925940,999.93,0.007191019,175671,17.258941597771784
IPERF3-UDP-DL-1000M,63.34.149.41,"Dublin, IE",udp,1279159708,999.92,0.012185695,429548,41.23683232836787
IPERF3-UDP-UL-5000M,63.34.149.41,"Dublin, IE",udp,2985044504,2388.03,0.013948302,1607187,66.11712600449725
IPERF3-UDP-DL-5000M,63.34.149.41,"Dublin, IE",udp,4904187464,3833.29,0.017778487756111374,3289362,82.36505161
IPERF3-TCP,54.232.52.243,"São Paulo, BR",tcp,213315880,170.65,165.04,410,
IPERF3-UDP-UL-100M,54.232.52.243,"São Paulo, BR",udp,124989524,99.99,0.084036263,37,0.036351847
